,r,b,tau
17051,0.03296139529704814,207.56012006176678,66.89684546118652
15627,0.03764122222528364,261.85998125197045,73.92022696190587
28306,0.040846452161426655,227.84695667167614,73.65603533833897
21322,0.02704149596439117,152.91775344493385,54.73520791270003
24940,0.03412623682460968,155.22903692712316,60.09059518614928
26783,0.03629432818461404,214.41696363739814,68.72762946192249
17812,0.027858728791237894,160.95550478323707,57.52389731046472
19617,0.026913096341639138,180.0374809336379,57.03022257672593
15818,0.03161943803358844,235.69776376379943,67.1981594848594
22999,0.03179738756499239,240.73572091969697,66.84204408686414
20878,0.03615532989844761,150.3877985279632,60.36754482436427
21071,0.030440250593013852,212.00017604689836,64.97051539589033
21053,0.030237901195013676,204.50481890188297,61.58015251647688
25776,0.0270697581089849,177.43460119486153,56.85988489677761
19304,0.02678471990616309,222.31613316769315,62.50968737399337
26993,0.03288925942564202,184.22766748110672,62.36789678618803
26874,0.0331301810883038,207.7178075680136,66.71902474587083
17064,0.03209252134554507,181.62876463488004,62.21554041161635
25092,0.03153553164594371,248.83170132970062,66.70611815159089
20226,0.02987178420034473,234.1707416474082,63.69119459413854
23532,0.026702312339627415,254.66881255210134,60.61951676705596
20008,0.03128080973560052,213.9217918953318,63.60764401464575
20282,0.035326187639495354,245.50182418891467,69.87447699120922
25632,0.035427637804463445,249.910021428496,72.39166714131171
16221,0.026213773138601695,155.11339685633936,54.79193341377267
20402,0.03798816930347782,240.811467386453,73.72306597923614
22815,0.03573522311658538,224.29950809016162,70.05628246520192
24047,0.037945561562519325,256.9516069406835,75.24121086822215
24470,0.034108194639519855,217.9541846279125,68.5413677973188
24295,0.028437541230515045,252.05254387355498,65.42229768110035
22049,0.02864285035281576,234.03071450605012,64.77408516869474
20685,0.030982471786711152,185.39934050989663,61.69347813531365
23398,0.03782700800613865,173.1440236108266,65.61202684629018
19241,0.03240148445026949,208.1036955146413,64.96690268671178
17849,0.02897046776651722,194.72098175832826,61.21324497773765
20014,0.036803714290014056,169.79107340634496,64.6381691009765
28391,0.02451745646997205,223.69908574388134,59.357000877389964
22615,0.03048184743232907,172.926646755315,60.87327460991225
25736,0.035705291672089155,223.8887441373785,70.78759293486561
24944,0.02819544942098132,173.17192513991023,59.57609135143109
23753,0.027839641155851268,274.5759477753661,67.66258333505145
24274,0.03503678230313391,283.2879103558873,75.47088846025186
27447,0.03400687481655756,306.5032860845906,74.95114180486252
19655,0.04029565759357902,234.38604115565502,73.91657514205575
17822,0.03957558070421023,283.53392931509114,79.99565089692986
26880,0.030943309397135438,174.62218694929228,60.72830331406005
17400,0.02927686251789526,237.24885289138732,65.73637143403337
20824,0.030486685503790807,222.7812779850912,65.82050918068954
17334,0.0339791970246342,328.0740146764765,76.18298453901646
